cohort_size_software_identities,configured_failure_probability,outcome,seed_count,mean_outcome_share_percent,bootstrap_95_ci_low_percent,bootstrap_95_ci_high_percent
500,0.01,SUCCESS,20,98.99,98.82000000000001,99.15
500,0.02,SUCCESS,20,98.22,97.99999999999999,98.45
500,0.05,SUCCESS,20,95.0,94.64,95.37025000000001
500,0.01,ROLLBACK,20,0.32999999999999996,0.23000000000000007,0.43
500,0.02,ROLLBACK,20,0.5399999999999999,0.43000000000000005,0.65
500,0.05,ROLLBACK,20,1.5,1.25,1.7599999999999998
500,0.01,FAIL,20,0.68,0.54,0.8299999999999998
500,0.02,FAIL,20,1.2399999999999998,1.0499999999999998,1.43
500,0.05,FAIL,20,3.5,3.250000000000001,3.72
