category,operation,n,minimum_gas,q1_gas,median_gas,q3_gas,maximum_gas,iqr_gas,mean_gas,sample_standard_deviation_gas,minimum_calldata_bytes,median_calldata_bytes,maximum_calldata_bytes,minimum_event_count,median_event_count,maximum_event_count,gas_price_wei,evidence_type,source_evidence,contract_group
deployment,DeviceAttestation,1,338894,338894.000,338894.000,338894.000,338894,0.000,338894.000,0.000,1568,1568.000,1568,0,0.000,0,0,local_besu_final_abi_receipt,results/reviewer_revision/raw/accountability/comparison_deployments.json,experimental_comparison
operation,activate_kill_switch,50,51186,51186.000,51186.000,51186.000,51186,0.000,51186.000,0.000,68,68.000,68,1,1.000,1,0,local_besu_final_abi_receipt,results/reviewer_revision/raw/besu_v2_final/governance_lifecycle_transactions.jsonl,governance_workflow
